Datum,Kundennummer,Produkt,Zahlungsmethode,Stückzahl
2017-02-22,41417,48174,Kreditkarte,1
2017-04-04,69804,32310,paypal,1
2017-06-01,63638,48174,Kreditkarte,2
2017-08-20,22184,47613,Bar,2
2017-03-21,73390,9072,paypal,2
2017-11-28,64191,10130,Kreditkarte,3
2017-11-25,60546,64983,Kreditkarte,2
2017-04-01,78085,15915,paypal,1
2017-12-11,4033,47613,Kreditkarte,2
2017-11-26,82070,27578,Bar,1
2017-05-06,80362,78934,Kreditkarte,2
2017-03-17,43524,14099,Kreditkarte,3
2017-06-27,17195,96506,Kreditkarte,3
2017-09-10,54321,76290,Kreditkarte,3
2017-02-04,73390,16224,paypal,1
2017-05-01,66020,37269,Kreditkarte,3
2017-10-10,92401,93187,Bar,3
2017-08-13,4033,78934,Bar,2
2017-02-28,66549,99445,Bar,3
2017-08-17,44558,55596,paypal,1
2017-05-09,41730,79954,Kreditkarte,2
2017-03-28,45565,57590,paypal,3
2017-11-10,8967,85931,Kreditkarte,3
2017-05-22,96000,10130,paypal,2
2017-11-29,4783,57590,paypal,2
2017-02-23,43524,15918,Bar,2
2017-02-05,39894,18233,Kreditkarte,3
2017-12-06,82918,11138,Kreditkarte,1
2017-10-27,39198,81165,Kreditkarte,3
2017-11-17,21534,50304,Bar,1
2017-12-25,78039,25426,Bar,1
2017-05-27,15309,79954,Kreditkarte,1
2017-10-05,44448,24221,Kreditkarte,1
2017-07-10,22611,62077,Bar,2
2017-03-18,22258,34082,paypal,1
2017-04-16,60290,34187,Bar,1
2017-01-30,95116,7234,Kreditkarte,3
2017-01-12,41454,40784,Bar,3
2017-04-19,41417,96001,Bar,3
2017-12-03,57454,22538,Kreditkarte,1
2017-06-21,22611,34187,Kreditkarte,2
2017-07-16,49302,85931,Bar,3
2017-02-17,45565,10130,Kreditkarte,3
2017-09-17,67759,72230,paypal,3
2017-06-12,4783,43107,paypal,2
2017-04-23,68927,96001,Kreditkarte,1
2017-12-18,92401,85931,Kreditkarte,2
2017-06-16,19549,32128,Kreditkarte,3
2017-02-21,27599,15847,paypal,3
2017-03-09,76168,16224,Bar,2
2017-02-17,75100,44726,Kreditkarte,3
2017-08-22,85517,72114,paypal,2
2017-08-09,5413,43446,Bar,1
2017-05-23,2444,85702,paypal,1
2017-10-22,56947,24221,Kreditkarte,2
2017-02-14,85393,28088,Bar,1
2017-08-15,3819,50304,Kreditkarte,1
2017-10-17,42783,18233,Bar,1
2017-12-21,63658,48174,Kreditkarte,2
2017-11-05,99458,29552,Bar,2
2017-10-18,17195,24221,Bar,1
2017-05-18,15309,87212,paypal,3
2017-02-02,86289,37269,Bar,1
2017-02-27,22430,34719,Kreditkarte,2
2017-04-04,19205,78483,Kreditkarte,2
2017-05-04,61228,19920,paypal,2
2017-09-08,47160,9947,Bar,1
2017-08-28,75871,75775,paypal,2
2017-06-16,34842,88698,Kreditkarte,2
2017-04-15,22184,62077,paypal,1
2017-01-23,23548,8632,paypal,1
2017-04-04,26126,39369,paypal,1
2017-06-30,44448,14099,Bar,3
2017-03-27,73551,16224,Bar,2
2017-10-03,82906,78483,Bar,2
2017-02-16,47160,27410,Bar,2
2017-06-03,75333,60230,paypal,3
2017-03-28,1981,85702,Bar,3
2017-05-25,98601,72230,Kreditkarte,2
2017-01-22,69361,38582,Bar,2
2017-05-13,68927,15915,Bar,3
2017-03-02,58067,42819,Bar,3
2017-07-19,80845,43446,Kreditkarte,1
2017-11-21,64266,38582,Bar,2
2017-10-18,78039,10130,Bar,2
2017-06-06,8967,27188,Kreditkarte,2
2017-01-07,72825,78483,Kreditkarte,1
2017-12-09,16701,40784,Bar,3
2017-04-16,34203,99445,Kreditkarte,1
2017-01-31,3532,34082,paypal,3
2017-01-15,59265,55593,paypal,2
2017-09-18,25568,27410,Kreditkarte,2
2017-05-28,4033,16105,paypal,1
2017-07-25,67728,8403,paypal,1
2017-10-17,73826,11138,Kreditkarte,2
2017-01-06,18378,60230,Bar,1
2017-11-10,59414,15918,Kreditkarte,1
2017-12-07,44292,85931,Bar,1
2017-01-04,15464,75775,paypal,1
2017-11-01,85998,75775,paypal,1
2017-08-22,93577,17731,Kreditkarte,3
2017-03-12,69361,43446,Bar,2
2017-12-15,29207,61070,paypal,2
2017-05-24,12118,54910,Kreditkarte,1
2017-11-04,52837,76290,paypal,3
2017-09-21,15410,51943,Kreditkarte,2
2017-12-15,82918,54910,Bar,2
2017-12-18,80281,38582,paypal,2
2017-07-30,73551,88698,paypal,1
2017-10-06,69361,9456,Bar,3
2017-06-27,16701,62077,paypal,3
2017-06-15,62292,13013,Kreditkarte,1
2017-08-01,79814,32310,Kreditkarte,3
2017-08-23,70944,34719,Bar,3
2017-09-12,68289,65762,paypal,1
2017-06-27,23934,87212,paypal,3
2017-01-11,60307,78483,Kreditkarte,2
2017-02-20,44409,25031,paypal,1
2017-02-14,10661,17731,paypal,1
2017-06-11,10253,9947,Kreditkarte,2
2017-02-19,4033,96506,Kreditkarte,3
2017-06-01,8589,96001,Kreditkarte,1
2017-06-06,2444,86205,Kreditkarte,1
2017-06-03,9815,22826,paypal,1
2017-02-16,2444,39548,paypal,2
2017-04-16,95864,15918,paypal,3
2017-10-06,73390,99445,Bar,2
2017-09-20,71186,43446,Bar,3
2017-10-07,18400,85931,Kreditkarte,2
2017-04-19,19234,34719,paypal,1
2017-02-12,61341,96506,paypal,1
2017-01-19,2444,8632,paypal,1
2017-04-15,34540,55593,Kreditkarte,2
2017-02-21,34540,60230,paypal,2
2017-09-17,62710,96506,Bar,3
2017-10-30,13386,25031,Kreditkarte,1
2017-11-22,81287,65762,Kreditkarte,3
2017-04-03,79785,18233,Bar,3
2017-08-16,7096,72114,paypal,1
2017-05-06,27599,22826,paypal,3
2017-10-25,79785,26358,Bar,2
2017-10-27,81958,10130,Bar,2
2017-08-30,17460,88698,Kreditkarte,2
2017-10-14,93528,87212,Kreditkarte,2
2017-05-16,58971,42029,Bar,3
2017-08-21,39894,42819,paypal,1
2017-01-14,31097,34719,Bar,2
2017-04-01,8626,55593,Kreditkarte,3
2017-12-05,19205,60974,paypal,2
2017-01-23,59089,55596,Kreditkarte,2
2017-08-07,45202,50304,Bar,2
2017-03-18,64266,22826,Kreditkarte,3
2017-04-28,85359,37269,Bar,1
2017-12-03,82070,51943,paypal,1
2017-06-18,91559,79271,Kreditkarte,1
2017-09-19,62408,48174,Bar,1
2017-01-06,63658,10130,Bar,3
2017-01-30,90685,79271,Kreditkarte,2
2017-08-06,75851,99445,Bar,3
2017-05-20,82906,47613,Bar,2
2017-06-27,21534,96506,paypal,3
2017-05-26,73826,25426,paypal,2
2017-12-16,8589,13013,paypal,1
2017-11-29,99326,78934,Bar,3
2017-03-24,57454,38582,Bar,1
2017-11-17,98601,82560,paypal,3
2017-02-04,95116,87212,Kreditkarte,3
2017-09-05,44031,43446,paypal,2
2017-02-16,61131,34187,Bar,1
2017-06-23,85359,82560,paypal,1
2017-01-10,20854,54910,Kreditkarte,3
2017-09-18,68927,27188,Kreditkarte,2
2017-02-23,31065,48174,paypal,3
2017-03-05,7096,39548,paypal,1
2017-08-06,81958,27188,paypal,2
2017-03-10,3912,88698,Kreditkarte,3
2017-10-22,88936,34719,Bar,3
2017-11-21,39198,29552,paypal,1
2017-03-27,66020,85156,paypal,2
2017-01-11,31065,72230,Bar,1
2017-04-22,5413,11138,paypal,3
2017-06-30,26797,25426,paypal,1
2017-03-28,74915,8081,paypal,3
2017-03-30,61515,32310,Bar,2
2017-06-01,93577,2002,paypal,1
2017-08-10,95864,75593,paypal,2
2017-07-23,7096,72114,Kreditkarte,3
2017-02-08,68114,11138,Bar,2
2017-08-29,61131,64983,Kreditkarte,2
2017-08-27,5413,38582,paypal,3
2017-08-06,20854,32738,Kreditkarte,2
2017-09-01,10253,48174,Kreditkarte,2
2017-03-29,90409,2002,Bar,1
2017-10-22,85445,79954,Bar,3
2017-04-04,90409,25426,paypal,3
2017-10-25,62710,47613,Kreditkarte,2
2017-08-01,67728,85702,paypal,3
2017-09-04,66186,28088,Bar,3
2017-06-10,28047,34187,Bar,2
2017-11-14,80616,81136,paypal,1
2017-07-31,67004,70159,Kreditkarte,3
2017-03-16,7941,9456,Bar,2
2017-09-28,75333,39548,paypal,3
2017-05-02,44031,55593,Kreditkarte,2
2017-05-13,34301,18233,Bar,2
2017-11-09,75057,2002,paypal,1
2017-07-26,31065,43107,Kreditkarte,1
2017-11-23,39894,8403,paypal,3
2017-01-10,60401,60974,Bar,3
2017-10-02,44429,79271,Bar,3
2017-02-18,26150,75775,Bar,3
2017-04-11,86289,61070,Bar,2
2017-04-19,15464,57590,paypal,3
2017-06-30,4182,7234,Bar,1
2017-05-03,34540,13013,Bar,3
2017-02-22,31314,64983,Bar,3
2017-07-29,9905,89266,paypal,3
2017-08-26,73390,96506,Kreditkarte,1
2017-08-19,80845,79954,paypal,1
2017-04-02,21230,89266,paypal,1
2017-09-28,32764,87212,Bar,2
2017-01-03,34540,40784,Bar,3
2017-06-04,99390,89266,Bar,2
2017-01-02,81851,26358,paypal,2
2017-01-01,53031,87000,paypal,3
2017-02-23,73309,18541,Kreditkarte,3
2017-09-16,74359,26358,Kreditkarte,2
2017-10-23,96000,34719,paypal,3
2017-04-11,33065,99445,Bar,1
2017-01-27,90418,27578,paypal,1
2017-11-25,60644,27410,paypal,1
2017-03-14,10253,78483,paypal,3
2017-05-06,3406,72230,Bar,2
2017-12-06,42247,51943,Bar,1
2017-11-07,85998,22826,Bar,3
2017-07-07,43300,48174,paypal,1
2017-09-09,50580,43446,Bar,1
2017-11-21,2693,86205,paypal,1
2017-03-06,41417,27578,Kreditkarte,3
2017-04-09,79196,99445,Kreditkarte,2
2017-07-21,22258,8081,Kreditkarte,1
2017-04-23,54828,47613,Bar,1
2017-12-03,29207,78483,Bar,1
2017-06-04,22295,14289,Kreditkarte,1
2017-05-01,68927,32738,Bar,2
2017-05-18,67728,81165,paypal,1
2017-11-25,96000,48174,Bar,2
2017-02-07,31314,27044,paypal,2
2017-08-13,26150,15918,Kreditkarte,2
2017-06-17,19234,16224,paypal,1
2017-05-22,41730,32128,Kreditkarte,2
2017-10-09,59461,96506,paypal,1
2017-05-01,60401,88698,paypal,2
2017-09-14,81287,78934,paypal,3
2017-11-20,16432,62077,paypal,3
2017-01-22,32764,51943,paypal,2
2017-12-13,56649,34187,Bar,3
2017-09-15,66020,27410,Kreditkarte,2
2017-07-03,6933,9072,Kreditkarte,1
2017-02-06,63094,39369,Kreditkarte,1
2017-07-14,27508,9785,Bar,2
2017-12-18,66186,9785,paypal,3
2017-09-28,10253,76290,paypal,3
2017-09-17,31314,16105,Bar,2
2017-01-04,90409,72230,Bar,3
2017-11-02,36028,8081,paypal,1
2017-12-24,76125,48174,paypal,3
2017-10-15,48640,55596,Kreditkarte,3
2017-12-17,92826,28440,paypal,3
2017-03-12,80362,32310,paypal,1
2017-08-14,5535,99445,Kreditkarte,3
2017-10-28,90409,75775,paypal,1
2017-09-21,10661,15847,paypal,2
2017-04-14,27951,34082,Bar,2
2017-02-24,41016,87212,Kreditkarte,2
2017-02-23,2693,81165,Bar,2
2017-02-16,76125,29552,paypal,3
2017-03-30,50580,93187,paypal,1
2017-10-21,40615,34187,Kreditkarte,2
2017-07-14,31314,34082,Kreditkarte,3
2017-03-13,86289,39369,Kreditkarte,3
2017-01-17,36028,62077,paypal,1
2017-06-22,20854,34187,paypal,1
2017-12-27,22476,85702,Bar,1
2017-10-04,34540,19920,paypal,2
2017-10-12,25568,75775,Kreditkarte,2
2017-12-06,63638,29656,Kreditkarte,3
2017-05-25,21349,96001,paypal,3
2017-03-27,9052,19920,paypal,3
2017-09-12,82918,55593,Kreditkarte,1
2017-07-31,50580,51943,Bar,2
2017-09-19,4182,9072,Bar,2
2017-02-11,63583,96001,Bar,2
2017-07-17,54963,19920,Bar,3
2017-12-08,81851,18233,paypal,2
2017-08-26,31066,48174,Bar,1
2017-11-13,60401,87000,paypal,2
2017-04-15,15410,25031,paypal,1
2017-01-19,61896,65762,paypal,3
2017-10-03,76315,34082,paypal,3
2017-09-04,40153,18541,Kreditkarte,2
2017-10-29,59461,47613,paypal,2
2017-10-27,62181,42029,Kreditkarte,2
2017-12-08,78085,51943,Kreditkarte,1
2017-10-21,8589,60230,paypal,1
2017-02-26,81287,25426,Kreditkarte,1
2017-04-21,54963,86205,paypal,2
2017-11-20,82918,34413,Bar,2
2017-11-16,31065,55596,Bar,2
2017-06-19,92941,16224,paypal,2
2017-12-24,41417,86064,Kreditkarte,3
2017-05-03,10253,15847,Kreditkarte,3
2017-06-25,9052,55596,Kreditkarte,3
2017-05-31,95116,48174,Bar,2
2017-07-17,59461,37269,Kreditkarte,1
2017-08-03,97073,53216,paypal,1
2017-06-02,45577,14099,paypal,2
2017-11-12,92941,96506,Kreditkarte,2
2017-10-21,69361,22826,Bar,3
2017-02-16,91519,34719,Bar,3
2017-12-25,5330,87212,Kreditkarte,3
2017-11-10,99326,75775,Kreditkarte,1
2017-03-07,89218,79271,Bar,1
2017-03-25,69927,43107,Kreditkarte,1
2017-02-26,1981,85931,Bar,2
2017-05-01,2444,76290,Bar,3
2017-11-19,61341,9072,paypal,1
2017-12-01,8967,62077,Kreditkarte,1
2017-11-02,85445,51943,Bar,1
2017-09-04,28915,79271,paypal,3
2017-10-23,15410,8403,paypal,1
2017-11-03,18345,29656,paypal,1
2017-12-22,37096,76290,Bar,1
2017-10-17,8723,10130,Bar,3
2017-12-28,4182,78934,Bar,2
2017-05-09,69927,16224,Bar,2
2017-07-22,49235,13013,Bar,2
2017-08-29,59089,75775,paypal,3
2017-10-26,28047,81136,Kreditkarte,2
2017-05-12,27599,15915,paypal,2
2017-07-31,69361,34082,paypal,1
2017-04-21,8626,91230,Kreditkarte,3
2017-08-19,85393,85931,paypal,2
2017-06-22,79815,62077,paypal,3
2017-07-24,74915,22538,Bar,2
2017-11-24,26797,34082,Kreditkarte,3
2017-09-27,86926,93187,Bar,3
2017-09-13,10253,62077,paypal,3
2017-01-02,82136,53216,Kreditkarte,3
2017-12-28,54963,86064,Kreditkarte,1
2017-09-11,99326,14099,Bar,3
2017-11-23,85445,17731,paypal,3
2017-12-26,73390,18233,Kreditkarte,1
2017-06-10,4182,89266,Bar,1
2017-02-07,15464,39369,paypal,3
2017-11-27,58595,87000,Kreditkarte,2
2017-10-02,7096,54910,paypal,1
2017-05-01,60644,34719,Kreditkarte,3
2017-01-01,87513,39369,paypal,3
2017-02-25,55088,17731,Bar,3
2017-12-06,99458,65762,Bar,3
2017-07-10,69927,40784,Kreditkarte,3
2017-11-02,95966,27578,Kreditkarte,3
2017-12-11,40615,34719,Bar,2
2017-04-23,44031,60230,paypal,2
2017-06-01,75851,34413,Kreditkarte,2
2017-06-29,60644,41910,Bar,1
2017-09-04,31065,27188,Kreditkarte,2
2017-01-09,75871,25426,Bar,3
2017-07-31,48569,96506,Bar,3
2017-04-14,18804,86064,paypal,1
2017-08-15,28047,86064,paypal,3
2017-02-09,66020,55596,Kreditkarte,3
2017-08-02,25568,61070,Kreditkarte,1
2017-07-05,29207,27410,Kreditkarte,1
2017-02-17,89218,15918,Bar,3
2017-10-29,90685,32128,Bar,1
2017-09-03,62912,24221,Kreditkarte,3
2017-02-08,21349,42819,Kreditkarte,3
2017-04-02,62438,79954,paypal,1
2017-08-27,20854,18541,paypal,3
2017-01-16,23934,22538,paypal,3
2017-12-21,21316,32128,Bar,3
2017-03-27,92404,13013,Kreditkarte,1
2017-02-18,69804,54910,Kreditkarte,1
2017-03-23,68927,62077,Kreditkarte,3
2017-12-15,70944,28088,Bar,3
2017-12-22,99735,88744,paypal,3
2017-11-11,99735,55593,Bar,1
2017-07-25,95966,79954,paypal,1
2017-12-27,82070,55596,Bar,3
2017-12-22,95116,9947,Kreditkarte,3
2017-03-17,94086,10130,Bar,1
2017-10-05,8626,60974,Kreditkarte,3
2017-10-11,1981,17731,Kreditkarte,1
2017-09-05,68582,17731,paypal,2
2017-12-17,48640,79954,paypal,3
2017-09-03,85359,44726,paypal,3
2017-01-22,93558,37269,paypal,2
2017-06-04,66020,78483,Kreditkarte,3
2017-11-24,64191,14289,Kreditkarte,3
2017-03-16,61131,7234,Kreditkarte,2
2017-10-02,70944,2002,Bar,1
2017-11-29,44558,29656,paypal,2
2017-03-08,60546,27410,Bar,3
2017-02-11,81958,22538,Bar,1
2017-06-06,83689,42819,paypal,2
2017-08-12,23580,14099,Bar,2
2017-02-11,44292,55596,Bar,2
2017-11-06,66020,2002,Kreditkarte,3
2017-11-27,85517,96001,paypal,2
2017-09-30,61515,76290,paypal,1
2017-08-02,73309,19920,Bar,2
2017-01-01,42251,75775,Kreditkarte,1
2017-03-06,60207,61070,Kreditkarte,3
2017-09-29,92135,64983,Bar,1
2017-09-15,19549,8081,Bar,2
2017-06-14,19475,75593,paypal,1
2017-03-20,71230,34413,Kreditkarte,2
2017-03-05,8723,15847,Bar,3
2017-08-16,92401,2002,Kreditkarte,3
2017-08-05,61131,70159,Kreditkarte,1
2017-08-11,79308,11138,Bar,1
2017-06-19,60546,26358,Bar,2
2017-10-23,40570,51943,Kreditkarte,1
2017-05-18,93528,34082,Kreditkarte,2
2017-08-21,22295,14289,paypal,3
2017-03-04,80362,9785,Bar,3
2017-03-26,21349,54910,paypal,1
2017-03-02,21316,17731,Kreditkarte,2
2017-07-02,31097,15847,Kreditkarte,2
2017-01-31,4426,10130,paypal,2
2017-08-18,91559,26358,paypal,2
2017-09-25,64577,14289,Bar,1
2017-11-25,80845,39369,Kreditkarte,2
2017-07-09,97073,86205,Bar,1
2017-10-25,13386,7234,Kreditkarte,2
2017-07-28,71230,43446,Bar,3
2017-04-09,99956,39548,Bar,2
2017-06-21,27951,19920,paypal,2
2017-04-30,18378,42029,Bar,3
2017-12-11,66186,16224,Kreditkarte,3
2017-08-05,80845,28088,paypal,2
2017-09-02,46920,9947,Bar,3
2017-05-27,58860,13013,Kreditkarte,3
2017-06-22,56947,86205,Kreditkarte,3
2017-09-25,99956,7234,Bar,3
2017-12-03,93577,34082,paypal,2
2017-05-08,20905,53216,Kreditkarte,1
2017-07-13,86289,8632,paypal,3
2017-05-31,82136,96506,paypal,1
2017-06-20,99956,25426,Bar,3
2017-04-16,60307,8081,paypal,3
2017-08-10,89235,32128,paypal,2
2017-03-28,17195,34187,Bar,3
2017-10-30,79815,29552,Bar,2
2017-10-12,22258,27188,paypal,1
2017-06-27,21324,16224,paypal,3
2017-01-13,92941,18233,Kreditkarte,3
2017-10-28,39198,88744,Kreditkarte,1
2017-05-26,69509,25031,paypal,3
2017-01-05,26509,18233,paypal,1
2017-06-22,37096,85702,paypal,3
2017-03-07,95955,27410,Kreditkarte,2
2017-04-02,3912,79271,paypal,3
2017-06-14,39198,78483,paypal,3
2017-03-04,80362,50304,Kreditkarte,1
2017-08-03,48640,85156,paypal,2
2017-11-25,41016,37524,Bar,1
2017-10-19,85359,42029,paypal,2
2017-02-07,22258,75593,Kreditkarte,3
2017-08-21,57445,7234,paypal,2
2017-02-04,17457,39548,Bar,2
2017-12-06,19216,65762,Kreditkarte,3
2017-05-30,8589,55596,Kreditkarte,3
2017-04-30,61131,32310,Bar,2
2017-09-19,15410,64983,Kreditkarte,3
2017-04-28,90685,88698,Bar,3
2017-05-21,52659,32310,paypal,2
2017-01-17,19234,9947,Kreditkarte,2
2017-05-08,34203,82560,paypal,1
2017-07-18,22295,38582,paypal,3
2017-09-21,14042,87000,paypal,2
2017-11-07,39894,48174,Bar,3
2017-05-21,56442,40784,Kreditkarte,1
2017-06-07,67759,34082,Bar,3
2017-02-13,6933,51943,Bar,1
2017-01-07,85998,16105,paypal,3
2017-01-27,19189,32738,paypal,3
2017-05-06,18400,27044,paypal,1
2017-04-16,15410,79954,Bar,2
2017-07-29,69804,70159,paypal,2
2017-03-02,64577,25426,Kreditkarte,3
2017-06-21,82906,34082,Bar,3
2017-02-04,60516,18233,Bar,3
2017-02-10,54963,40784,paypal,1
2017-03-23,43524,81165,Kreditkarte,2
2017-04-29,7941,78934,Kreditkarte,3
2017-05-28,91519,14099,paypal,3
2017-08-08,36028,85156,paypal,2
2017-03-15,11628,40784,Kreditkarte,3
2017-03-20,95116,53216,Kreditkarte,1
2017-02-28,19475,43446,paypal,1
2017-05-03,80281,75775,Bar,1
2017-03-02,22476,9456,paypal,2
